class,symbol,tissue_type,TPM,organ,kinase_percentile
Dark,CDK11A,Lung,37.5,lung,78
Dark,CDK11A,Minor Salivary Gland,21.99,salivary_gland,75
Dark,CDK11A,Muscle - Skeletal,17.325,skeletal_muscle,79
Dark,CDK11A,Nerve - Tibial,31.625,nerve,74
Dark,CDK11A,Ovary,33.01,ovary,77
Dark,CDK11A,Pancreas,10.79,pancreas,78
Dark,CDK11A,Pituitary,31.67,pituitary_gland,82
Dark,CDK11A,Prostate,32.625,prostate,80
Dark,CDK11A,Skin - Not Sun Exposed (Suprapubic),27.43,skin,75
Dark,CDK11A,Skin - Sun Exposed (Lower leg),28.5,skin,75
Dark,CDK11A,Small Intestine - Terminal Ileum,41.87,small_intestine,90
Dark,CDK11A,Spleen,50.75,spleen,85
Dark,CDK11A,Stomach,23.08,stomach,82
Dark,CDK11A,Testis,46.91,testis,85
Dark,CDK11A,Thyroid,35.555,thyroid_gland,78
Dark,CDK11A,Uterus,39.95,uterus,77
Dark,CDK11A,Vagina,29.65,vagina,75
Dark,CDK11A,Whole Blood,17.97,NA,78
Light,PRKCZ,Adipose - Subcutaneous,0.3152,adipose_tissue,12
Light,PRKCZ,Adipose - Visceral (Omentum),0.9784,adipose_tissue,19
Light,PRKCZ,Adrenal Gland,5.565,adrenal_gland,40
Light,PRKCZ,Artery - Aorta,0.2841,aorta,11
Light,PRKCZ,Artery - Coronary,0.4848,coronary_artery,13
Light,PRKCZ,Artery - Tibial,0.2547,NA,12
Light,PRKCZ,Bladder,2.981,urinary_bladder,22
Light,PRKCZ,Brain - Amygdala,18.365,amygdala,82
Light,PRKCZ,Brain - Anterior cingulate cortex (BA24),30.51,brain,87
Light,PRKCZ,Brain - Caudate (basal ganglia),22.095,brain,84
Light,PRKCZ,Brain - Cerebellar Hemisphere,101.05,cerebellar_hemisphere,93
Light,PRKCZ,Brain - Cerebellum,91.3,cerebellum,93
Light,PRKCZ,Brain - Cortex,43.62,prefrontal_cortex,88
Light,PRKCZ,Brain - Frontal Cortex (BA9),47.89,frontal_cortex,88
Light,PRKCZ,Brain - Hippocampus,19.86,hippocampus,83
Light,PRKCZ,Brain - Hypothalamus,21.8,brain,83
Light,PRKCZ,Brain - Nucleus accumbens (basal ganglia),31.81,brain,88
Light,PRKCZ,Brain - Putamen (basal ganglia),16.96,brain,80
Light,PRKCZ,Brain - Spinal cord (cervical c-1),23.37,spinal_cord,83
Light,PRKCZ,Brain - Substantia nigra,17.255,brain,81
Light,PRKCZ,Breast - Mammary Tissue,2.0045,breast,22
Light,PRKCZ,Cervix - Ectocervix,3.215,ectocervix,26
Light,PRKCZ,Cervix - Endocervix,2.471,uterine_cervix,23
Light,PRKCZ,Colon - Sigmoid,1.59,colon,20
Light,PRKCZ,Colon - Transverse,6.001,colon,35
Light,PRKCZ,Esophagus - Gastroesophageal Junction,1.131,esophagus,19
Light,PRKCZ,Esophagus - Mucosa,8.072,esophagus,45
Light,PRKCZ,Esophagus - Muscularis,0.8042,esophagus,17
Light,PRKCZ,Fallopian Tube,1.813,fallopian_tube,18
Light,PRKCZ,Heart - Atrial Appendage,3.174,heart,34
Light,PRKCZ,Heart - Left Ventricle,2.019,heart,38
Light,PRKCZ,Kidney - Cortex,5.943,kidney,48
Light,PRKCZ,Liver,2.863,liver,44
Light,PRKCZ,Lung,22.3,lung,61
Light,PRKCZ,Minor Salivary Gland,5.903,salivary_gland,36
Light,PRKCZ,Muscle - Skeletal,0.08175,skeletal_muscle,11
Light,PRKCZ,Nerve - Tibial,0.56045,nerve,12
Light,PRKCZ,Ovary,1.727,ovary,22
Light,PRKCZ,Pancreas,3.2125,pancreas,42
Light,PRKCZ,Pituitary,12.17,pituitary_gland,50
Light,PRKCZ,Prostate,6.2315,prostate,32
Light,PRKCZ,Skin - Not Sun Exposed (Suprapubic),7.864,skin,42
Light,PRKCZ,Skin - Sun Exposed (Lower leg),7.554,skin,41
Light,PRKCZ,Small Intestine - Terminal Ileum,9.659,small_intestine,42
Light,PRKCZ,Spleen,7.256,spleen,35
Light,PRKCZ,Stomach,4.1165,stomach,32
Light,PRKCZ,Testis,36.52,testis,77
Light,PRKCZ,Thyroid,15.965,thyroid_gland,51
Light,PRKCZ,Uterus,1.121,uterus,16
Light,PRKCZ,Vagina,5.512,vagina,28.999999999999996
Light,PRKCZ,Whole Blood,2.924,NA,49
Light,PIK3CD,Adipose - Subcutaneous,8.7535,adipose_tissue,41
Light,PIK3CD,Adipose - Visceral (Omentum),11.27,adipose_tissue,50
Light,PIK3CD,Adrenal Gland,3.536,adrenal_gland,32
Light,PIK3CD,Artery - Aorta,9.657,aorta,45
Light,PIK3CD,Artery - Coronary,9.339,coronary_artery,43
Light,PIK3CD,Artery - Tibial,8.822,NA,42
Light,PIK3CD,Bladder,10.02,urinary_bladder,40
Light,PIK3CD,Brain - Amygdala,4.06,amygdala,40
Light,PIK3CD,Brain - Anterior cingulate cortex (BA24),5.462,brain,44
Light,PIK3CD,Brain - Caudate (basal ganglia),3.136,brain,30
Light,PIK3CD,Brain - Cerebellar Hemisphere,6.266,cerebellar_hemisphere,35
Light,PIK3CD,Brain - Cerebellum,7.214,cerebellum,37
Light,PIK3CD,Brain - Cortex,7.921,prefrontal_cortex,50
Light,PIK3CD,Brain - Frontal Cortex (BA9),7.485,frontal_cortex,45
Light,PIK3CD,Brain - Hippocampus,4.884,hippocampus,44
Light,PIK3CD,Brain - Hypothalamus,4.686,brain,38
Light,PIK3CD,Brain - Nucleus accumbens (basal ganglia),3.033,brain,30
Light,PIK3CD,Brain - Putamen (basal ganglia),3.0715,brain,35
Light,PIK3CD,Brain - Spinal cord (cervical c-1),4.689,spinal_cord,37
Light,PIK3CD,Brain - Substantia nigra,4.887,brain,43
Light,PIK3CD,Breast - Mammary Tissue,7.1235,breast,37
Light,PIK3CD,Cervix - Ectocervix,8.32,ectocervix,38
Light,PIK3CD,Cervix - Endocervix,11.95,uterine_cervix,44
Light,PIK3CD,Colon - Sigmoid,8.723,colon,43
Light,PIK3CD,Colon - Transverse,6.2185,colon,35
Light,PIK3CD,Esophagus - Gastroesophageal Junction,8.647,esophagus,44
Light,PIK3CD,Esophagus - Mucosa,6.63,esophagus,41
Light,PIK3CD,Esophagus - Muscularis,9.1955,esophagus,45
Light,PIK3CD,Fallopian Tube,11.82,fallopian_tube,46
Light,PIK3CD,Heart - Atrial Appendage,2.633,heart,32
Light,PIK3CD,Heart - Left Ventricle,1.548,heart,32
Light,PIK3CD,Kidney - Cortex,5.94,kidney,48
Light,PIK3CD,Liver,2.182,liver,41
Light,PIK3CD,Lung,23.12,lung,62
Light,PIK3CD,Minor Salivary Gland,5.864,salivary_gland,35
Light,PIK3CD,Muscle - Skeletal,0.77575,skeletal_muscle,28.000000000000004
Light,PIK3CD,Nerve - Tibial,9.74,nerve,39
Light,PIK3CD,Ovary,13.9,ovary,50
Light,PIK3CD,Pancreas,1.783,pancreas,30
Light,PIK3CD,Pituitary,4.926,pituitary_gland,30
Light,PIK3CD,Prostate,7.954,prostate,37
Light,PIK3CD,Skin - Not Sun Exposed (Suprapubic),4.35,skin,30
Light,PIK3CD,Skin - Sun Exposed (Lower leg),4.633,skin,31
Light,PIK3CD,Small Intestine - Terminal Ileum,13.53,small_intestine,55.00000000000001
Light,PIK3CD,Spleen,84.715,spleen,92
Light,PIK3CD,Stomach,4.84,stomach,36
Light,PIK3CD,Testis,9.078,testis,35
Light,PIK3CD,Thyroid,10.61,thyroid_gland,40
Light,PIK3CD,Uterus,12.2,uterus,45
Light,PIK3CD,Vagina,9.256,vagina,40
Light,PIK3CD,Whole Blood,102,NA,97
Light,MTOR,Adipose - Subcutaneous,14.07,adipose_tissue,53
Light,MTOR,Adipose - Visceral (Omentum),12.4,adipose_tissue,52
Light,MTOR,Adrenal Gland,13.07,adrenal_gland,65
Light,MTOR,Artery - Aorta,15.62,aorta,59
Light,MTOR,Artery - Coronary,14.45,coronary_artery,55.00000000000001
Light,MTOR,Artery - Tibial,17.31,NA,60
Light,MTOR,Bladder,17.06,urinary_bladder,55.00000000000001
Light,MTOR,Brain - Amygdala,6.7035,amygdala,55.00000000000001
Light,MTOR,Brain - Anterior cingulate cortex (BA24),9.088,brain,60
Light,MTOR,Brain - Caudate (basal ganglia),10.125,brain,63
Light,MTOR,Brain - Cerebellar Hemisphere,26.4,cerebellar_hemisphere,67
Light,MTOR,Brain - Cerebellum,27.15,cerebellum,69
Light,MTOR,Brain - Cortex,14.115,prefrontal_cortex,66
Light,MTOR,Brain - Frontal Cortex (BA9),13.1,frontal_cortex,61
Light,MTOR,Brain - Hippocampus,7.083,hippocampus,55.00000000000001
Light,MTOR,Brain - Hypothalamus,9.565,brain,60
Light,MTOR,Brain - Nucleus accumbens (basal ganglia),9.857,brain,61
Light,MTOR,Brain - Putamen (basal ganglia),8.257,brain,63
Light,MTOR,Brain - Spinal cord (cervical c-1),8.796,spinal_cord,54
Light,MTOR,Brain - Substantia nigra,8.1395,brain,61
Light,MTOR,Breast - Mammary Tissue,14.355,breast,53
Light,MTOR,Cervix - Ectocervix,15.04,ectocervix,52
Light,MTOR,Cervix - Endocervix,15.55,uterine_cervix,50
Light,MTOR,Colon - Sigmoid,18.64,colon,64
Light,MTOR,Colon - Transverse,13.23,colon,56.99999999999999
Light,MTOR,Esophagus - Gastroesophageal Junction,18.05,esophagus,65
Light,MTOR,Esophagus - Mucosa,13.08,esophagus,59
Light,MTOR,Esophagus - Muscularis,18.99,esophagus,67
Light,MTOR,Fallopian Tube,17,fallopian_tube,55.00000000000001
Light,MTOR,Heart - Atrial Appendage,8.112,heart,61
Light,MTOR,Heart - Left Ventricle,7.528,heart,69
Light,MTOR,Kidney - Cortex,8.864,kidney,62
Light,MTOR,Liver,7.582,liver,71
Light,MTOR,Lung,15.39,lung,49
Light,MTOR,Minor Salivary Gland,13.32,salivary_gland,59
Light,MTOR,Muscle - Skeletal,14.795,skeletal_muscle,76
Light,MTOR,Nerve - Tibial,19.18,nerve,59
Light,MTOR,Ovary,13.71,ovary,50
Light,MTOR,Pancreas,6.072,pancreas,61
Light,MTOR,Pituitary,17.43,pituitary_gland,62
Light,MTOR,Prostate,16.755,prostate,59
Light,MTOR,Skin - Not Sun Exposed (Suprapubic),12.51,skin,52
Light,MTOR,Skin - Sun Exposed (Lower leg),12.83,skin,51
Light,MTOR,Small Intestine - Terminal Ileum,14.78,small_intestine,57.99999999999999
Light,MTOR,Spleen,15.635,spleen,55.00000000000001
Light,MTOR,Stomach,11.22,stomach,59
Light,MTOR,Testis,35.38,testis,76
Light,MTOR,Thyroid,19.02,thyroid_gland,57.99999999999999
Light,MTOR,Uterus,19.69,uterus,56.99999999999999
Light,MTOR,Vagina,13.08,vagina,49
Light,MTOR,Whole Blood,3.503,NA,51
Light,EPHA2,Adipose - Subcutaneous,25.175,adipose_tissue,72
Light,EPHA2,Adipose - Visceral (Omentum),35.97,adipose_tissue,84
Light,EPHA2,Adrenal Gland,11.445,adrenal_gland,60
Light,EPHA2,Artery - Aorta,19.19,aorta,64
Light,EPHA2,Artery - Coronary,19.1,coronary_artery,63
Light,EPHA2,Artery - Tibial,12.09,NA,50
Light,EPHA2,Bladder,21.81,urinary_bladder,64
Light,EPHA2,Brain - Amygdala,1.949,amygdala,26
Light,EPHA2,Brain - Anterior cingulate cortex (BA24),1.962,brain,26
Light,EPHA2,Brain - Caudate (basal ganglia),2.2955,brain,26
Light,EPHA2,Brain - Cerebellar Hemisphere,1.528,cerebellar_hemisphere,19
Light,EPHA2,Brain - Cerebellum,2.346,cerebellum,22
Light,EPHA2,Brain - Cortex,2.4535,prefrontal_cortex,26
Light,EPHA2,Brain - Frontal Cortex (BA9),1.968,frontal_cortex,22
Light,EPHA2,Brain - Hippocampus,1.93,hippocampus,26
Light,EPHA2,Brain - Hypothalamus,2.387,brain,25
Light,EPHA2,Brain - Nucleus accumbens (basal ganglia),1.799,brain,24
Light,EPHA2,Brain - Putamen (basal ganglia),2.3255,brain,28.999999999999996
Light,EPHA2,Brain - Spinal cord (cervical c-1),3.203,spinal_cord,30
Light,EPHA2,Brain - Substantia nigra,3.12,brain,32
Light,EPHA2,Breast - Mammary Tissue,28.455,breast,77
Light,EPHA2,Cervix - Ectocervix,26.79,ectocervix,72
Light,EPHA2,Cervix - Endocervix,27.09,uterine_cervix,69
Light,EPHA2,Colon - Sigmoid,9.785,colon,46
Light,EPHA2,Colon - Transverse,13.1,colon,56.99999999999999
Light,EPHA2,Esophagus - Gastroesophageal Junction,11.13,esophagus,51
Light,EPHA2,Esophagus - Mucosa,207.2,esophagus,100
Light,EPHA2,Esophagus - Muscularis,10.88,esophagus,50
Light,EPHA2,Fallopian Tube,34.53,fallopian_tube,77
Light,EPHA2,Heart - Atrial Appendage,12.53,heart,74
Light,EPHA2,Heart - Left Ventricle,8.342,heart,72
Light,EPHA2,Kidney - Cortex,17.13,kidney,80
Light,EPHA2,Liver,8.574,liver,74
Light,EPHA2,Lung,33.08,lung,73
Light,EPHA2,Minor Salivary Gland,38.96,salivary_gland,89
Light,EPHA2,Muscle - Skeletal,3.3435,skeletal_muscle,46
Light,EPHA2,Nerve - Tibial,41.275,nerve,82
Light,EPHA2,Ovary,10.09,ovary,44
Light,EPHA2,Pancreas,7.4,pancreas,67
Light,EPHA2,Pituitary,12.7,pituitary_gland,51
Light,EPHA2,Prostate,17.065,prostate,60
Light,EPHA2,Skin - Not Sun Exposed (Suprapubic),61.44,skin,92
Light,EPHA2,Skin - Sun Exposed (Lower leg),55.5,skin,89
Light,EPHA2,Small Intestine - Terminal Ileum,18.72,small_intestine,67
Light,EPHA2,Spleen,12.965,spleen,50
Light,EPHA2,Stomach,13.05,stomach,65
Light,EPHA2,Testis,4.269,testis,20
Light,EPHA2,Thyroid,35.52,thyroid_gland,78
Light,EPHA2,Uterus,34.32,uterus,74
Light,EPHA2,Vagina,98.84,vagina,97
Light,EPHA2,Whole Blood,0.1222,NA,18
Light,PINK1,Adipose - Subcutaneous,56.385,adipose_tissue,92
Light,PINK1,Adipose - Visceral (Omentum),41.62,adipose_tissue,87
Light,PINK1,Adrenal Gland,122.75,adrenal_gland,99
Light,PINK1,Artery - Aorta,59,aorta,90
Light,PINK1,Artery - Coronary,52.17,coronary_artery,90
Light,PINK1,Artery - Tibial,63.78,NA,90
Light,PINK1,Bladder,53.07,urinary_bladder,87
Light,PINK1,Brain - Amygdala,93.965,amygdala,99
Light,PINK1,Brain - Anterior cingulate cortex (BA24),109.9,brain,99
Light,PINK1,Brain - Caudate (basal ganglia),84.43,brain,99
Light,PINK1,Brain - Cerebellar Hemisphere,82.57,cerebellar_hemisphere,91
Light,PINK1,Brain - Cerebellum,77.7,cerebellum,90
Light,PINK1,Brain - Cortex,136.3,prefrontal_cortex,99
Light,PINK1,Brain - Frontal Cortex (BA9),148.7,frontal_cortex,99
Light,PINK1,Brain - Hippocampus,80.48,hippocampus,99
Light,PINK1,Brain - Hypothalamus,93.22,brain,100
Light,PINK1,Brain - Nucleus accumbens (basal ganglia),103.2,brain,99
Light,PINK1,Brain - Putamen (basal ganglia),89.79,brain,100
Light,PINK1,Brain - Spinal cord (cervical c-1),117.1,spinal_cord,98
Light,PINK1,Brain - Substantia nigra,110.85,brain,99
Light,PINK1,Breast - Mammary Tissue,48.395,breast,89
Light,PINK1,Cervix - Ectocervix,48.32,ectocervix,85
Light,PINK1,Cervix - Endocervix,56.06,uterine_cervix,88
Light,PINK1,Colon - Sigmoid,66.08,colon,93
Light,PINK1,Colon - Transverse,44.2,colon,91
Light,PINK1,Esophagus - Gastroesophageal Junction,66.01,esophagus,93
Light,PINK1,Esophagus - Mucosa,40.62,esophagus,87
Light,PINK1,Esophagus - Muscularis,69.855,esophagus,94
Light,PINK1,Fallopian Tube,39.47,fallopian_tube,81
Light,PINK1,Heart - Atrial Appendage,50.77,heart,96
Light,PINK1,Heart - Left Ventricle,77.89,heart,98
Light,PINK1,Kidney - Cortex,41.79,kidney,96
Light,PINK1,Liver,34.79,liver,96
Light,PINK1,Lung,37.26,lung,77
Light,PINK1,Minor Salivary Gland,42.9,salivary_gland,91
Light,PINK1,Muscle - Skeletal,157.55,skeletal_muscle,98
Light,PINK1,Nerve - Tibial,68.96,nerve,92
Light,PINK1,Ovary,41.72,ovary,83
Light,PINK1,Pancreas,14.66,pancreas,85
Light,PINK1,Pituitary,42.53,pituitary_gland,88
Light,PINK1,Prostate,48.89,prostate,88
Light,PINK1,Skin - Not Sun Exposed (Suprapubic),45.51,skin,86
Light,PINK1,Skin - Sun Exposed (Lower leg),55.02,skin,89
Light,PINK1,Small Intestine - Terminal Ileum,32.45,small_intestine,83
Light,PINK1,Spleen,36.18,spleen,77
Light,PINK1,Stomach,34.805,stomach,90
Light,PINK1,Testis,133.5,testis,98
Light,PINK1,Thyroid,59.92,thyroid_gland,90
Light,PINK1,Uterus,54.73,uterus,86
Light,PINK1,Vagina,51.08,vagina,87
Light,PINK1,Whole Blood,47.07,NA,89
Light,EPHA8,Adipose - Subcutaneous,0.018655,adipose_tissue,2
Light,EPHA8,Adipose - Visceral (Omentum),0.02057,adipose_tissue,2
Light,EPHA8,Adrenal Gland,0.1087,adrenal_gland,7.000000000000001
Light,EPHA8,Artery - Aorta,0.0933,aorta,6
Light,EPHA8,Artery - Coronary,0.1794,coronary_artery,8
Light,EPHA8,Artery - Tibial,0.04667,NA,5
Light,EPHA8,Bladder,0.03522,urinary_bladder,2
Light,EPHA8,Brain - Amygdala,0.3828,amygdala,11
Light,EPHA8,Brain - Anterior cingulate cortex (BA24),0.9802,brain,17
Light,EPHA8,Brain - Caudate (basal ganglia),0.68755,brain,13
Light,EPHA8,Brain - Cerebellar Hemisphere,1.219,cerebellar_hemisphere,17
Light,EPHA8,Brain - Cerebellum,1.489,cerebellum,17
Light,EPHA8,Brain - Cortex,0.9474,prefrontal_cortex,15
Light,EPHA8,Brain - Frontal Cortex (BA9),0.9734,frontal_cortex,15
Light,EPHA8,Brain - Hippocampus,0.3644,hippocampus,11
Light,EPHA8,Brain - Hypothalamus,1.563,brain,20
Light,EPHA8,Brain - Nucleus accumbens (basal ganglia),0.8448,brain,14.000000000000002
Light,EPHA8,Brain - Putamen (basal ganglia),0.45085,brain,12
Light,EPHA8,Brain - Spinal cord (cervical c-1),0.2233,spinal_cord,8
Light,EPHA8,Brain - Substantia nigra,0.86005,brain,16
Light,EPHA8,Breast - Mammary Tissue,0.01836,breast,1
Light,EPHA8,Cervix - Ectocervix,0.0148855,ectocervix,1
Light,EPHA8,Cervix - Endocervix,0.02263,uterine_cervix,1
Light,EPHA8,Colon - Sigmoid,0.01501,colon,1
Light,EPHA8,Colon - Transverse,0.013145,colon,1
Light,EPHA8,Esophagus - Gastroesophageal Junction,0.037455,esophagus,3
Light,EPHA8,Esophagus - Mucosa,0.02234,esophagus,2
Light,EPHA8,Esophagus - Muscularis,0.03732,esophagus,3
Light,EPHA8,Fallopian Tube,0.02972,fallopian_tube,1
Light,EPHA8,Heart - Atrial Appendage,0.008875,heart,1
Light,EPHA8,Heart - Left Ventricle,0.01031,heart,3
Light,EPHA8,Kidney - Cortex,0.01543,kidney,1
Light,EPHA8,Liver,0.006317,liver,1
Light,EPHA8,Lung,0.01776,lung,1
Light,EPHA8,Minor Salivary Gland,0.008508,salivary_gland,1
Light,EPHA8,Muscle - Skeletal,0.01696,skeletal_muscle,4
Light,EPHA8,Nerve - Tibial,0.02267,nerve,2
Light,EPHA8,Ovary,0.01849,ovary,2
Light,EPHA8,Pancreas,0.7524,pancreas,21
Light,EPHA8,Pituitary,1.294,pituitary_gland,13
Light,EPHA8,Prostate,0.057445,prostate,2
Light,EPHA8,Skin - Not Sun Exposed (Suprapubic),0.07262,skin,3
Light,EPHA8,Skin - Sun Exposed (Lower leg),0.08847,skin,4
Light,EPHA8,Small Intestine - Terminal Ileum,0.02018,small_intestine,1
Light,EPHA8,Spleen,4.667,spleen,30
Light,EPHA8,Stomach,0.01431,stomach,1
Light,EPHA8,Testis,4.559,testis,22
Light,EPHA8,Thyroid,0.025915,thyroid_gland,2
Light,EPHA8,Uterus,0.02165,uterus,2
Light,EPHA8,Vagina,0.01573,vagina,1
Light,EPHA8,Whole Blood,0.00544,NA,4
Light,EPHB2,Adipose - Subcutaneous,2.359,adipose_tissue,25
Light,EPHB2,Adipose - Visceral (Omentum),2.114,adipose_tissue,24
Light,EPHB2,Adrenal Gland,1.475,adrenal_gland,24
Light,EPHB2,Artery - Aorta,2.299,aorta,24
Light,EPHB2,Artery - Coronary,2.998,coronary_artery,26
Light,EPHB2,Artery - Tibial,1.32,NA,21
Light,EPHB2,Bladder,3.314,urinary_bladder,23
Light,EPHB2,Brain - Amygdala,1.519,amygdala,22
Light,EPHB2,Brain - Anterior cingulate cortex (BA24),2.37,brain,28.999999999999996
Light,EPHB2,Brain - Caudate (basal ganglia),2.18,brain,26
Light,EPHB2,Brain - Cerebellar Hemisphere,0.9922,cerebellar_hemisphere,16
Light,EPHB2,Brain - Cerebellum,1.509,cerebellum,17
Light,EPHB2,Brain - Cortex,4.2855,prefrontal_cortex,34
Light,EPHB2,Brain - Frontal Cortex (BA9),3.732,frontal_cortex,31
Light,EPHB2,Brain - Hippocampus,2.477,hippocampus,28.999999999999996
Light,EPHB2,Brain - Hypothalamus,4.107,brain,34
Light,EPHB2,Brain - Nucleus accumbens (basal ganglia),2.54,brain,28.000000000000004
Light,EPHB2,Brain - Putamen (basal ganglia),2.0445,brain,27
Light,EPHB2,Brain - Spinal cord (cervical c-1),8.426,spinal_cord,53
Light,EPHB2,Brain - Substantia nigra,3.4155,brain,34
Light,EPHB2,Breast - Mammary Tissue,1.82,breast,20
Light,EPHB2,Cervix - Ectocervix,2.9205,ectocervix,25
Light,EPHB2,Cervix - Endocervix,3.602,uterine_cervix,25
Light,EPHB2,Colon - Sigmoid,2.584,colon,25
Light,EPHB2,Colon - Transverse,14.975,colon,63
Light,EPHB2,Esophagus - Gastroesophageal Junction,1.014,esophagus,17
Light,EPHB2,Esophagus - Mucosa,0.4067,esophagus,12
Light,EPHB2,Esophagus - Muscularis,0.7352,esophagus,16
Light,EPHB2,Fallopian Tube,5.921,fallopian_tube,30
